,region_name,region_parent_name,is_boost,Condition,Type,Make,Subtype,Interior Accessories,Exterior Accessories,Headlights and Lighting,Audio Parts,Wheels and Parts,Safety and Security,Engine and Drivetrain,Oils and Fluids,Watercraft and Boats,Motorcycle Parts,seller_name
83,Thika,Kiambu,vip,Brand New,Wheels & Parts,,,,,,,Rims,,,,,,Option One Tyres
181,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
224,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
316,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
319,Thika,Kiambu,premium,Brand New,Oils & Fluids,Other Make,,,,,,,,,Hydraulic Oils,,,Ndarugo
481,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
483,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
515,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
523,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
599,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
631,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
659,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
703,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
729,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
746,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
810,Thika,Kiambu,premium,Used,Headlights & Lighting,Nissan,,,,"Tail Lights, Back Up Lights & Accessories",,,,,,,,Fay Mwesh
928,Thika,Kiambu,premium,Used,Interior Accessories,Honda,,,,,,,,,,,,Fay Mwesh
997,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,Other Make,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
1008,Thika,Kiambu,False,Brand New,Safety & Security,,,,,,,,Other,,,,,Adrian Simiyu
1044,Thika,Kiambu,premium,Used,Headlights & Lighting,Toyota,,,,"Headlights, Components & Accessories",,,,,,,,Fay Mwesh
1104,Juja,Kiambu,vip+,Brand New,Interior Accessories,Subaru,,Seat Covers,,,,,,,,,,Mathew Mukoya
1211,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
1238,Ruiru,Kiambu,premium,Used,Exterior Accessories,,,,,,,,,,,,,Koppel Auto Spares
1268,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,,,,,,,ROHIMAX TYRE CENTRE
1317,Kiambu / Kiambu ,Kiambu,premium,Used,Engine & Drivetrain,Nissan,Engine & Transmission Mounts,,,,,,,,,,,Fay Mwesh
1324,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tires,,,,,,ROHIMAX TYRE CENTRE
1363,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tires,,,,,,ROHIMAX TYRE CENTRE
1469,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
1523,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
1524,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
1536,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
1563,Kiambu / Kiambu ,Kiambu,premium,Used,Engine & Drivetrain,Toyota,Engine & Transmission Mounts,,,,,,,,,,,Fay Mwesh
1576,Ruiru,Kiambu,premium,Used,Engine & Drivetrain,Mazda,,,,,,,,Engine & Transmission Assemblies,,,,Koppel Auto Spares
1684,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
1809,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
1822,Ruiru,Kiambu,premium,Brand New,Headlights & Lighting,Mercedes-Benz,,,,"Headlights, Components & Accessories",,,,,,,,Simon
1847,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
1910,Ruiru,Kiambu,premium,Used,Engine & Drivetrain,Mazda,,,,,,,,Engine & Transmission Assemblies,,,,Koppel Auto Spares
2081,Kikuyu,Kiambu,diamond,Brand New,Exterior Accessories,Other Make,,,Other,,,,,,,,,Machinery
2254,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
2275,Kiambu / Kiambu ,Kiambu,False,Used,Other,Subaru,,,,,,,,,,,,Daniel Muiruri
2288,Thika,Kiambu,vip,Brand New,Engine & Drivetrain,,,,,,,,,"Starters, Batteries & Components",,,,Option One Tyres
2433,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
2519,Thika,Kiambu,vip,Brand New,Engine & Drivetrain,,,,,,,,,,,,,Option One Tyres
2534,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
2699,Juja,Kiambu,vip+,Brand New,Interior Accessories,Toyota,,Seat Covers,,,,,,,,,,Mathew Mukoya
2870,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
2874,Kikuyu,Kiambu,False,Used,Interior Accessories,Other Make,,Seats,,,,,,,,,,Lawrence
3172,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,,,,,,,ROHIMAX TYRE CENTRE
3192,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
3228,Ruiru,Kiambu,vip+,Brand New,Interior Accessories,Suzuki,,Seat Covers,,,,,,,,,,Mathew Mukoya
3262,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
3516,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
3552,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
3885,Ruiru,Kiambu,vip+,Brand New,Interior Accessories,,,Seat Covers,,,,,,,,,,Mathew Mukoya
4173,Juja,Kiambu,vip,Brand New,Other,Other Make,,,,,,,,,,,,Gmau Jeff
4299,Witeithie,Kiambu,vip,Brand New,Other,,,,,,,,,,,,,Safety Max Solutions
4609,Thika,Kiambu,vip,Brand New,Wheels & Parts,,,,,,,Tires,,,,,,Option One Tyres
5459,Thika,Kiambu,vip,Brand New,"Brakes, Suspension & Steering",,,,,,,,,,,,,Option One Tyres
6040,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
6112,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Rims,,,,,,ROHIMAX TYRE CENTRE
6154,Thika,Kiambu,vip,Brand New,Wheels & Parts,,,,,,,,,,,,,Option One Tyres
6327,Thika,Kiambu,vip,Brand New,Wheels & Parts,,Tires,,,,,,,,,,,Option One Tyres
6354,Kiambu / Kiambu ,Kiambu,diamond,Brand New,Wheels & Parts,,,,,,,Tire & Wheel Care,,,,,,ROHIMAX TYRE CENTRE
